variables,miss_values,percentage
Body mass index,31,4.1891891891891895
Absenteeism time in hours,22,2.9729729729729732
Height,14,1.891891891891892
Work load Average/day ,10,1.3513513513513513
Education,10,1.3513513513513513
Transportation expense,7,0.945945945945946
Son,6,0.8108108108108109
Disciplinary failure,6,0.8108108108108109
Hit target,6,0.8108108108108109
Social smoker,4,0.5405405405405406
Age,3,0.40540540540540543
Reason for absence,3,0.40540540540540543
Service time,3,0.40540540540540543
Distance from Residence to Work,3,0.40540540540540543
Social drinker,3,0.40540540540540543
Pet,2,0.2702702702702703
Weight,1,0.13513513513513514
Month of absence,1,0.13513513513513514
Seasons,0,0.0
Day of the week,0,0.0
ID,0,0.0
